Link,Claim,Explanation,Label
https://www.indiatoday.in/fact-check/story/fact-check-news-clip-from-2017-goes-viral-with-claim-of-evm-foul-play-1906523-2022-01-30,"Media report shows BJP has tampered with EVM machines. The collector and SP of Bhind, Madhya Pradesh, have been removed after it was found that the VVPAT machine was dispensing slips with only BJP symbols.","This is a five-year-old incident and has no connection to any recent or upcoming election. The Bhind Collector and SP were shunted out in April 2017, ahead of by-election to Ater assembly seat in the district.",Mostly lies
https://www.indiatoday.in/fact-check/story/fact-check-this-is-not-the-man-who-led-coup-in-africa-burkina-faso-1906426-2022-01-30,Picture shows the man who led the coup in Africa’s Burkina Faso.,"On January 24, Burkina Faso’s military regime announced on state television that it had seized power. However, the image in question is of the captain who read out the statement on behalf of Lt-Col Paul-Henri Damiba, the coup leader.",Half True
https://www.indiatoday.in/fact-check/story/fact-check-this-mid-air-photoshoot-of-fighter-aircraft-is-not-from-india-s-republic-day-celebrations-1906148-2022-01-29,Video shows a daring mid-air photoshoot of an airshow by the Indian Air Force on Republic Day.,This video is from the rehearsal of an airshow by the Royal Saudi Air Force as part of the Kingdom's 90th National Day in 2020.,Mostly lies
https://www.indiatoday.in/fact-check/story/fact-check-did-this-tmc-leader-hoist-party-flag-in-place-of-tricolour-on-r-day-not-really-1905501-2022-01-28,"Former TMC MLA from Bengal’s Purulia district, Purna Chandra Bauri, unfurled the party flag in place of Tricolour to celebrate Republic Day.","This video does not show the complete event. On Republic Day, Bauri did hoist the TMC flag, but before that, he had also unfurled the national flag on another pole beside the party flag.",Mostly lies
https://www.indiatoday.in/fact-check/story/fact-check-old-unrelated-images-flood-social-media-as-visuals-of-police-crackdown-on-rrb-protests-1905328-2022-01-27,Heart-rending pictures of police brutality during the ongoing protests against RRB NTPC exam results.,"These images are old and of different incidents that have taken place in different states. However, there has been massive uproar against the police crackdown on RRB protesters.",Half True
https://www.indiatoday.in/fact-check/story/old-images-from-lucknow-falsely-linked-to-rrb-protests-bihar-1905326-2022-01-27#google_vignette,Pictures show police in Bihar brutally attacking candidates protesting against the RRB NTPC exam results.,"These images are from a 2018 protest held in Lucknow against alleged disparities in the recruitment of assistant teachers in UP. However, there has also been outrage over police highhandedness against RRB protesters.",Half True
https://www.indiatoday.in/fact-check/story/fact-check-cash-for-votes-in-up-old-image-manipulated-to-claim-sp-is-bribing-voters-1904868-2022-01-26,This image of an envelope with the ‘cycle’ symbol containing Rs 500 is proof that Samajwadi Party leader from Meerut Atul Pradhan is distributing money to lure voters.,This image is manipulated and Atul Pradhan’s name has been added to it. The original image is old and has been present on the Internet since at least 2017.,Mostly lies
https://www.indiatoday.in/fact-check/story/fact-check-this-is-not-the-indian-army-rescuing-a-bird-stuck-in-power-line-1904875-2022-01-26,Video shows an Indian soldier in a helicopter rescuing a bird tangled in power lines.,"This is a 2013 video from Virginia Beach, United States. It shows crew of an energy company rescuing a seagull that was trapped in power lines for hours.",Mostly lies
https://www.indiatoday.in/fact-check/story/fact-check-pictures-of-aap-leaders-wearing-skull-caps-viral-with-misleading-claims-1904419-2022-01-25,AAP leaders observe Muslim rituals during elections in Delhi and wear saffron scarves during polls in UP. ,None of the two images of AAP leaders wearing skull caps was taken during any election in Delhi. Both these images were taken in July 2016. Assembly and municipal elections in Delhi were held in 2015 and 2017. ,Half True
https://www.indiatoday.in/fact-check/story/fact-check-six-year-old-image-syrian-conflict-yemen-airstrike-1904249-2022-01-25,Image of man rescuing a baby after the deadly airstrike on Yemen.,"An airstrike by the Saudi-led coalition on Yemen’s Saada on January 21 killed over 80 people, including children. However, the above picture was taken in April 2016 after airstrikes on a medical centre in Aleppo, Syria.",Half True
https://www.indiatoday.in/fact-check/story/fact-check-this-video-of-kejriwal-praising-bhagwant-mann-for-his-pledge-to-quit-alcohol-is-old-1904390-2022-01-25,"AAP chief Arvind Kejriwal has praised Bhagwant Mann, his party’s CM candidate for Punjab, for his decision to quit drinking from January 1, 2022.",This video is from an AAP rally that was held ahead of Lok Sabha elections in 2019.,Half True
https://www.indiatoday.in/fact-check/story/fact-check-this-is-not-ias-officer-vijay-singh-lashing-out-at-west-over-their-colonial-mindset-1904266-2022-01-25,Video shows IAS officer Vijay Singh lashing out at Western countries at an international forum for their colonial attitude towards India when it comes to action on climate change.,"The man in the video is Vijay Prashad, a historian and journalist. He was speaking at the COP26 summit in Glasgow last year.",Mostly lies
https://www.indiatoday.in/fact-check/story/fact-check-old-images-linked-to-deadly-yemen-airstrike-that-killed-over-80-1903985-2022-01-25,Bodies of children being retrieved from the debris following an airstrike in Yemen’s Saada on January 21.,"None of these images are from the site of the deadly attack that killed over 80 people, including children. These images are from conflicts in different countries of the Middle East and have been in circulation for several years.",Mostly lies
https://www.indiatoday.in/fact-check/story/fact-check-old-video-protesters-blocking-smriti-irani-convoy-linked-to-up-polls-1903983-2022-01-25,Video of protesters blocking Union minister Smriti Irani’s convoy in the run-up to elections in Uttar Pradesh.,This is an old video from 2020. A group of Congress workers had blocked Irani’s cavalcade in Varanasi in protest against the alleged gang rape and murder of a 19-year-old woman in UP’s Hathras.,Mostly lies
https://www.indiatoday.in/fact-check/story/video-man-falling-building-fire-mumbai-fact-check-1903216-2022-01-22,"Video shows a man falling to his death from a high-rise building while trying to escape from a fire break out in Mumbai’s Tardeo area on January 22, 2022.","This video is from a fire incident that took place in Mumbai's Currey Road on October 22, 2021. However, a major fire did break out in a building in Mumbai’s Tardeo area on January 22.",Half True
https://www.indiatoday.in/fact-check/story/animation-video-circulated-as-indian-satellite-s-collision-with-international-space-station-1902503-2022-01-20,Video shows the collision of an under-maintenance Indian satellite with the International Space Station. American astronaut Michael Collins died during the incident. ,This is a 3D animation video created by CGI artist Aleksey Patrev. American astronaut Michael Collins of Apollo 11 fame died of cancer at the age of 90 in April 2021. ,Mostly lies
